Textbox16,ProblemNumber,Status,ServiceName,Category,Priority,Textbox10,CreatedDateTime,ClosedDateTime,Subject,ProblemDescription,Workaround,RootCause,RootCauseCode,Resolution,ResolutionAction
"Created Problem Records for Selected Services, Total 1865",5917,Closed,Netbackup,Backup,5,CSD ,24/04/2018 07:50:38,10/05/2019 14:58:00,Firmware severely out of date on backup powervaults.,"Dell have made us aware that we are several iterations behind on our powervault firmware. We think this may contribute to several alerts we receive about failed components - the alert comes in, then seconds later another alert stating that the condition is resolved comes through. <br><br>spcsdbk003_storage - now decom<br>spcsdbk005_storage - upgrade completed successfully <br>spcsdbk006_storage - updated (RFC 35135)<br>spcsdbk007_storage - updated<br>spcsdbk008_storage - updated<br>spcsdbk009_storage - updated<br>spcsdbk010_storage - updated<br>spcsdbk011_storage - updated<br>spcsdbk012_storage - due to decom, no data on it<br>spcsdbk013_storage - updated<br>spcsdbk014_storage - updated<br>spcsdbk015_storage - updated<br>SPCSDBK017_storage - updated<br>spcsdbk018_storage - updated<br>spcsdbk019_storage - update completed successfully <br>spcsdbk020_storage - updated&nbsp;<br>spnetbk100_storage - decom&nbsp;<br>",,Software out of date,Software Issue,"Firmware up to date 

We’re phasing out the powervaults and before long they’ll all be decommissioned. I’d prefer not to run the risk of data loss should a firmware update fail, but if we must then we can do so with sign off that it’s an acceptable risk. ",Request for Change
"Created Problem Records for Selected Services, Total 1865",5918,Closed,SAP,ERP - Pre Assessment,3,Cambridge English ,24/04/2018 15:53:28,26/10/2018 08:53:00,CECP: discrepancy between timetable overview and report,The timetable overview screen allocated entries count for speaking component shows all entries as allocated due to the discrepancy in the candidate number in backend table.,"As a workaround, open the “Allocate Entries” for the Speaking component and click on the “Save and Close” button this will change the unallocated entries count to one so you can go ahead and allocate the speaking component for the “005” candidate to the required sitting and slot.","While 2 concurrent users are allocating entries for timetabling for the same centre at the same time, the candidates existing for the booking (allocated by one user) are getting deleted from the custom table: ZPOR_TIME_ALLOC  as the other user has already allocated some new/removal of candidates for the same booking . For this inconsistency is happening at the custom table: ZPOR_TIME_ALLOC level, causing the count discrepancy.",Software Issue,"In order to address this, the deletion has to be done based on the candidate details/numbers present in the allocate entries screen. So change has to be done at line number 326 for View: V_TT_DASHBOARD, Event Handler Method: ONACTIONSAVE_CLOSE_ENTRIES, where the mismatch between the number of candidates allocated by the first user and second user in 2 separate concurrent sesions for the same centre has to be captured. 

For any such mismatch, a new popup window should be triggered if there is a discrepancy between the allocated entries from current user login. A message should be available on the popup window as “Another user is currently timetabling these entries. Do you want to proceed?”. 

Based on user acknowledgement, entries will be processed. 

RFC# 31672. 
",Request for Change
"Created Problem Records for Selected Services, Total 1865",5919,Closed,Database,Oracle,3,CSD ,24/04/2018 15:56:36,21/06/2018 09:22:00,Processes Summary Total Limit on LIBSE UAT,The current process limit is 320 and the current usage is around 280. We need to increase the process number to 1000 and session number to 2000.,Killing idle sessions,The process limit and session limit value is small to be able to cater the concurrent sessions in the LIBSEU3 database.,Database Issue,"Increased the process limit value to 1200 and session limit value to 2400 and did a reboot of the database to apply the changes.

Work was deployed under RFC  20562",Request for Change
"Created Problem Records for Selected Services, Total 1865",5920,Closed,Database,Oracle,5,CSD ,25/04/2018 07:33:30,15/08/2018 08:58:00,Foglight DB warning alerts for STS,There are high number of DB warning alerts for STS in Foglight. Can this be investigated?,no workaround required,There is only one incident associated to this problem record and we have not experienced any other database alert associated with STS since the time of the original incident. The number of working listed are two and not that is not a high number...no need to take any further action,Unidentified cause,checked database health for STS perspective and no issues identified. No need to keep the PR open,Will Not Fix
"Created Problem Records for Selected Services, Total 1865",5922,Closed,Network,Server Load Balancers,5,Cambridge English CIE CSD OCR,26/04/2018 11:02:12,26/04/2018 13:39:44,PRD Internal Load Balancer failed after config sync,"• One of our engineers logged in to the active load balancer via the cluster ip
• They made a change to virtual server skypeForBusinessInternal_https
• When they went to sync they noticed the standby device ndc-lbi02-prd also had changes. So he sent an email to confirm it was ok to run an overwrite sync from the active.
• The email was sent 12 April 2018 13:59
• He received confirmation at 14:15
• He then then synced nhr-lbi02-prd to the group
• It said it had synced ok, but then showed ndc-lbi02-prd as disconnected
• 30 seconds later or so, his session to nhr-lbi02-prd was disconnected.  When he connected again it was now standby
• Ndc-lbi02-prd was not reachable
",Fail over to standby node,Root cause is due to the load balancer being under high CPU load when the config sync was applied which caused the MCP process to fail a heart beat and subsequently result in the TMM process restarting as a fail safe,Capacity issue,"RFC 20179
Increased CPU reservation for the virtual appliance from 2ghz to 4ghz
Increased CPU count from 2 - 4",Request for Change
"Created Problem Records for Selected Services, Total 1865",5923,Closed,Integration and API,BizTalk,5,CSD ,26/04/2018 12:25:04,17/07/2018 09:52:00,Transaction log for BizTalk database in UAT is full,"Transaction log for database BizTalkMsgBoxDB_02 is full and we are unable to query the BizTalk admin console in UAT.

Below is the error message:

[cid:image001.png@01D3D897.7013BF40]

","Truncate the transaction log to enable service to resume immediately.  This action broke the backup chain and compromised recoverability, however the risk was accepted in PP2.","The Biztalk instance in the Non-Production PP2 environment suffered a service outage as a result of a database becoming unavailable.  This outage was caused by the automated database backup job not being re-enabled at the end of RFC 20091 on 10th April.  Although this was discovered on 20th April and corrective action started, unfortunately disk space was exhausted before this completed.",Database Issue,As per MIR attached,Training
"Created Problem Records for Selected Services, Total 1865",5924,Identified,Network,Switches,5,CSD ,26/04/2018 13:36:20,,Nexus network switch NWCCR1SR501 CRASH,"Nexus 5696 (NWCCR1SR501) alarms: ""SW_CRASH snmpd in slot 18 crashed with crash type : stateful crash""",,Software defect ''CSCvc24535'' (https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvc24535/?rfs=iqvred). This is fixed in 7.1(4)N1(1) or above. ,Software Issue,,
"Created Problem Records for Selected Services, Total 1865",5925,Closed,Operating System,Linux Server,5,CSD ,26/04/2018 16:25:45,16/05/2018 12:56:08,CCMS standby database server hanging issue upccmor041,"It seems the CCMS standby database server hang on 25th Apr. It was power off and back on to fix the issue. However, we need to find the RCA for this.",Power it off and power back on.,Unknown. I have looked at the server stats and logs during the outage and nothing seems out of the ordinary. Probably need to perform RCA during or as soon as possibly after service restored if it happens again.,Unidentified cause,RCA unknown. If this type of issue happens again we should perform more detailed investigation to find the problem,None
"Created Problem Records for Selected Services, Total 1865",5926,Closed,Integration and API,BizTalk,5,Cambridge English CSD ,26/04/2018 16:34:31,08/10/2018 10:03:22,IELTS Marks processing failure-BAM Failure,"If BAM (Internal processing tracking) connection fails IELTS candidate marks received from MM is not getting sent to IWAS
Ideally even BAM tracking fails, the process should continue without interruption ",Manual reprocessing of the Marks file when incident reported ,BAM error handling wrongly implemented ,Known/standard error,"Handle BAM related error gracefully and allow process to continue even if BAM related error is there. 
",Request for Change
"Created Problem Records for Selected Services, Total 1865",5927,Closed,SAP,ERP - Logistics,5,Cambridge English ,27/04/2018 06:22:12,02/08/2018 09:42:00,YLE- CD quantity discrepancy and irrelevant CD line ,"1. For YLE Material Orders, few cases we have discrepancy in CD quantities where the CDs were calculated correctly and updated in Material order header while making amendment but it is not updating the line item. Incident 569085 is raised for this issue.

2. For YLE Material orders, some cases when the order was amended and when all lines are deleted and new lines are added, it is creating new line as CD instead of QP. Incident 571583 is raised for this issue.","1. Manually update the line item quantity or create new line item for extra missing CD quantity (if delivery is already created)

2. Set the reason for rejection for irrelevant CD line items","1.Code fix is required to add sort statement in the internal table containing the amended CD line item before reading that with Binary search based on Material Order number and line item.
2.A new piece of code to be added to remove CD materials from internal table to avoid addition of CD material instead of QP for the amendment carried out after deletion of entire lines from material order followed by addition of new items.",Software Issue,Code fix applied in production. RFC#30850 ,Request for Change
