,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,application_type,pub_rec_bankruptcies,emp_length_range
218,1066659,1300852,16000,16000,16000, 60 months,17.27%,399.97,D,D3,JP Morgan Chase Bank,2 years,RENT,50000,Source Verified,12/1/2011,Current,n,,debt_consolidation,Debt Consolidation,761xx,TX,11.04,0,1-May,0,64,,10,0,15788,42.20%,16,f,3009.73,3009.73,20783.1,20783.1,12990.27,7792.83,0,0,0,16-May,399.97,16-May,INDIVIDUAL,0,0-10 years
220,1066798,1300982,9500,9500,9500, 36 months,12.69%,318.68,B,B5,San Diego Unified School District,< 1 year,MORTGAGE,52500,Source Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > I just got a new job in a different state and have recently moved. I have had many moving costs that were not reimbursed by my work, and I am trying to pay down the balance. My job is very stable. I am a responsible borrower and have always paid my bills and mortgage on time. Thank you for your support.<br>",moving,Moved to California,921xx,CA,23.54,0,Jul-99,2,,,14,0,23729,75.30%,42,f,0,0,7002.16,7002.16,5366.65,1635.51,0,0,0,13-Nov,318.68,16-May,INDIVIDUAL,0,0 years
224,1066766,1300949,7200,7200,7200, 36 months,7.90%,225.29,A,A4,"St. Mary's Health Care System, Inc.",3 years,RENT,68000,Source Verified,12/1/2011,Charged Off,n,,debt_consolidation,Bank of America Pay-Off Loan,306xx,GA,7.98,0,2-Jan,0,,,5,0,8783,82.90%,14,f,0,0,7730.87,7730.87,6744.17,907.62,14.97905838,64.1,11.538,14-Nov,225.29,15-Apr,INDIVIDUAL,0,0-10 years
225,1066613,1300801,26000,26000,25975, 60 months,16.77%,642.96,D,D2,PepsiCo,10+ years,MORTGAGE,53000,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/16/11 > This is a home improvement that I'm planning to make. I'm also planning to consolidate some credit card debt of $12,000. The rest will go towards home improvements and repairs. Thank you for the consideration.<br>",home_improvement,Home Improvement,271xx,NC,11.77,0,Sep-98,1,,,5,0,7560,72.70%,14,f,0,0,9622.45,9613.3,3946.3,4391.9,0,1284.25,12.27,13-Feb,642.96,13-Jun,INDIVIDUAL,0,10+ years
226,1065648,1299754,7000,7000,6975, 60 months,11.71%,154.69,B,B3,WA State vDSHS,6 years,MORTGAGE,69600,Verified,12/1/2011,Charged Off,n,,credit_card,Debt consolidation,981xx,WA,26.22,0,Oct-79,0,,,10,0,45449,90.90%,23,f,0,0,6126.24,6104.36,3452.36,1790.2,0,883.68,156.0204,14-Oct,154.69,15-Jan,INDIVIDUAL,0,0-10 years
231,1066503,1300476,10000,10000,10000, 36 months,12.69%,335.45,B,B5,nor cal beverage,2 years,RENT,70000,Not Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/12/11 > I plan to use my loan to pay off other credit cards that have a higher interest rate.  I am a good borrower because I pay my bills on time and they are not late.  My monthly bills add up to $1,850.00.  My job is very stable, I work in a company that has a high demand for the product that I make.<br>",credit_card,credit cards,956xx,CA,2.69,0,Oct-00,0,,,5,0,6035,70.20%,6,f,0,0,6351.59,6351.59,4513.35,1505.13,0,333.11,3.1464,13-Jul,335.45,13-Dec,INDIVIDUAL,0,0-10 years
239,1066344,1300716,15600,15600,15600, 60 months,12.69%,352.48,B,B5,corbett industries,10+ years,RENT,50000,Source Verified,12/1/2011,Charged Off,n,,vacation,vacation loan,109xx,NY,5.78,0,3-Jun,1,,,8,0,8079,35.70%,11,f,0,0,16894.08,16894.08,11631.87,5262.21,0,0,0,16-Jan,352.48,16-May,INDIVIDUAL,0,10+ years
242,1064063,1296651,18825,18825,18800, 60 months,17.58%,473.75,D,D4,executive plaza,4 years,MORTGAGE,44000,Verified,12/1/2011,Current,n,  Borrower added on 12/17/11 > I will use funds to pay-off current credit cards.and close all pending balances I have. I am very responsible with the credit obligations that I acquire.  I am confident with my job. It is very stable and secure as it is supported also by one of the best union in the contry.<br>,debt_consolidation,Debt Consolidation,113xx,NY,24.98,0,Jan-00,0,65,,9,0,14092,93.20%,20,f,3572.17,3567.34,24593.14,24560.66,15252.82,9340.32,0,0,0,16-May,473.75,16-Apr,INDIVIDUAL,0,0-10 years
251,1048526,1279867,4000,4000,4000, 36 months,12.69%,134.18,B,B5,XOXO Salon,2 years,RENT,25000,Not Verified,12/1/2011,Charged Off,n,,debt_consolidation,Car loan,802xx,CO,6.86,0,5-Feb,3,,,5,0,8546,79.70%,13,f,0,0,2022.66,2022.66,1373.86,498.22,0,150.58,1.55,13-Mar,134.18,14-Aug,INDIVIDUAL,0,0-10 years
255,1066232,1300594,10000,10000,10000, 36 months,12.42%,334.16,B,B4,First National Bank of St. Louis,10+ years,RENT,39000,Source Verified,12/1/2011,Charged Off,n,,credit_card,credit card consolidation,630xx,MO,18.31,0,Aug-98,1,,,7,0,11691,90.60%,19,f,0,0,11604.88,11604.88,9635.96,1956.9,0,12.02,0,14-Apr,4378.02,16-May,INDIVIDUAL,0,10+ years
261,1066173,1300526,12300,12300,12300, 60 months,13.49%,282.96,C,C1,gem city motors,2 years,MORTGAGE,30000,Source Verified,12/1/2011,Current,n,,debt_consolidation,no more bills,592xx,MT,12.76,0,2-Nov,1,,,8,0,10981,55.50%,12,f,2168.19,2168.19,14688.44,14688.44,10131.81,4556.63,0,0,0,16-May,282.96,16-May,INDIVIDUAL,0,0-10 years
266,1066162,1300514,12000,12000,12000, 36 months,8.90%,381.04,A,A5,"Time Escrow, Inc.",7 years,RENT,80000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/13/11 > Im just trying to consolidate my credit card debts. <br>,other,credit card consolidating,900xx,CA,9.13,0,3-Oct,0,,,8,0,13088,83.50%,16,f,0,0,10411.4,10411.4,8330.52,1564.56,0,516.32,5.0436,14-Mar,381.04,14-Jul,INDIVIDUAL,0,0-10 years
270,1063447,1296011,16000,16000,16000, 60 months,13.49%,368.08,C,C1,,10+ years,RENT,35000,Verified,12/1/2011,Charged Off,n,,small_business,Small Business,274xx,NC,16.22,0,2-Jul,1,,,6,0,19184,58.50%,14,f,0,0,10343.32,10343.32,5147.59,3678.41,0,1517.32,15.1732,14-Jan,368.08,14-May,INDIVIDUAL,0,10+ years
273,1066112,1300264,11875,11875,11875, 60 months,12.69%,268.32,B,B5,Guardsmark,< 1 year,RENT,25920,Source Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > I need this loan to start a better life for myself and get back on track. <br> Borrower added on 12/14/11 > -I am a great borrower, because I am hard working. I also have the cash to make payments every month with ease.<br>-my monthly budget $2,256<br>-I have a steady job in securty<br><br>  Borrower added on 12/19/11 > I really need this loan to make a better future for myself. To pay off debt and have cost of living stability.<br>",debt_consolidation,Debt Consolidation Loan,941xx,CA,23.75,0,1-Apr,0,,,8,0,13932,94.10%,28,f,0,0,1185.35,1185.35,285.76,248.58,0,651.01,117.1818,12-Mar,268.32,12-Jul,INDIVIDUAL,0,0 years
278,1066071,1300216,14000,14000,14000, 36 months,7.90%,438.07,A,A4,interim health care,10+ years,OWN,45600,Not Verified,12/1/2011,Charged Off,n,,debt_consolidation,debt consolidation,265xx,WV,19.74,0,Jun-92,0,,,5,0,15846,63.90%,10,f,0,0,6130.32,6130.32,5053.24,1077.08,0,0,0,13-Mar,438.07,16-May,INDIVIDUAL,0,10+ years
285,1065145,1299228,18000,18000,17975, 60 months,15.27%,430.78,C,C4,Latique handbag,1 year,MORTGAGE,84000,Verified,12/1/2011,Current,n,,credit_card,Pay off credit card,069xx,CT,11.41,0,Dec-98,3,,,11,0,22542,83.20%,23,f,3282,3277.36,22354.28,22323.38,14718,7636.28,0,0,0,16-May,430.78,16-Apr,INDIVIDUAL,0,0-10 years
299,1065026,1298879,8000,8000,8000, 36 months,16.29%,282.41,D,D1,St. Rose San Martin,5 years,RENT,50000,Not Verified,12/1/2011,Charged Off,n,,credit_card,credit debt,891xx,NV,13.22,0,5-Nov,0,,,9,0,5106,72.90%,12,f,0,0,4533.54,4533.54,2798.78,1436.44,0,298.32,3.09,13-Apr,287.45,13-Sep,INDIVIDUAL,0,0-10 years
300,1057001,1288555,30000,30000,28673.79652, 60 months,12.42%,673.72,B,B4,,3 years,RENT,70000,Source Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/11/11 > I am self-employed LLC company with 3 years experience. I have new product for my business and I need starting money to make patent, manufacturing and advertising. I already have working prototype and estimated price to make my new product.<br>",small_business,Patent and manufacturing.,773xx,TX,0.94,0,6-Jul,0,,,7,0,1159,3.20%,14,f,0,0,17179.15,14854.83,8464.18,5679.62,33.68658497,3001.66,30.0166,13-Oct,673.72,14-Feb,INDIVIDUAL,0,0-10 years
301,1065513,1299629,18000,18000,18000, 60 months,16.77%,445.13,D,D2,Old Republic Home Protection,6 years,OWN,40000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/11/11 > Personal Loan<br> Borrower added on 12/13/11 > Personal Loan<br>,home_improvement,Personal Loan,945xx,CA,18.42,0,Nov-00,3,,,7,0,11147,73.40%,20,f,0,0,11229.37,11229.37,4677.94,4651.94,0,1899.49,18.8164,13-Oct,445.13,14-Feb,INDIVIDUAL,0,0-10 years
304,1061788,1293410,20000,20000,19975, 60 months,20.30%,533.23,E,E5,federal,10+ years,OWN,59000,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > I will pay of bills.<br><br> Borrower added on 12/13/11 > I am in a very good job, i am not  n any danger in losing it. I have always try my best to pay in a timely matter.  I have paid off several  debts of early in my years.  I am a very honest and trustfully person.  You can as me any questions I will try my best to answer it in my best to my knowledge.  <br><br> Borrower added on 12/13/11 > thanks to the people who has put faith into me. you wont be sorry.<br><br> Borrower added on 12/14/11 > Thank you again in believeing in me. I promise not ro let you down. thanks again for your support.<br><br> Borrower added on 12/14/11 > thank you all for your support<br><br><br> Borrower added on 12/15/11 > thank you to all the investors. You won't be sorry.  however I need atleast 2/3 of my request amount.  Im not being unappectaned, i promise you I won't let you down<br><br> Borrower added on 12/15/11 > I got a emial stateing I had a question from a investor, But I don't see it<br><br> Borrower added on 12/15/11 > oh thank you so much, to those who just put their trust in me.  Merry Christmas.<br><br> Borrower added on 12/16/11 > i dont know if the message went tho  I want to express my feeling to all the investors  Merry Christmas and bless you all!!<br><br>  Borrower added on 12/19/11 > I recieved a email telling me I had a question form a lender.  I went online and i don&quot;t see one.<br><br> Borrower added on 12/19/11 > I want to give my blessing to all the new investors, that have faith in me.  I promise you won't be sorry.<br><br> Borrower added on 12/19/11 > nevermind, i found the questions.<br><br>  Borrower added on 12/20/11 > The amount I will receive is turely a blessing. you are all good people. thank you for making this time of yr and easier to relax and maybe not worry about the coming year.  GOD BLESS YOU ALL.<br><br>  Borrower added on 12/21/11 > it almost the end, I would like to thank all of you for the support.  I would like more, however, the amount i get for this loan, will come in handing, please consider to support me a little more. Thank you<br>",debt_consolidation,life changing,997xx,AK,20.91,0,Aug-00,2,,,16,0,32137,83.10%,32,f,0,0,16063.42,16043.48,6317.7,7790.84,0,1954.88,19.5488,14-Mar,281.46,14-Jul,INDIVIDUAL,0,10+ years
313,1065467,1299576,9000,9000,9000, 60 months,19.91%,238,E,E4,Responsive Learning Technologies,3 years,RENT,60000,Verified,12/1/2011,Charged Off,n,,credit_card,Cards,950xx,CA,22.56,0,Dec-97,1,,,17,0,21321,91.10%,30,f,0,0,5227.64,5227.64,2327.73,2899.91,0,0,0,13-Oct,238,16-May,INDIVIDUAL,0,0-10 years
314,1065649,1299755,25000,25000,24975, 60 months,18.64%,643.58,E,E1,KINGS COUNTY DISTRICT ATTORNEY'S OFFICE,10+ years,RENT,61500,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > I plan to pay off my credit cards.  I have 13 years on the job with a secure career.  <br><br>  Borrower added on 12/19/11 > Sending the minimum payments will take me, ranging from the lowest balance to the highest balance, approx. 10 to 26 years.  With Lending Club, 5 years is motivational and a BIG difference.<br>",debt_consolidation,CLEAR UP,112xx,NY,12.6,1,Apr-00,0,22,,11,0,24278,60.80%,25,f,0,0,25775.38,25749.68,13993.4,11732.12,32.18,17.68,3.1824,15-Apr,643.58,16-May,INDIVIDUAL,0,10+ years
317,1064102,1296692,20000,20000,19975, 60 months,15.27%,478.64,C,C4,Level 3 Communications,10+ years,OWN,78216,Verified,12/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation,956xx,CA,10.79,0,Jul-95,1,,,8,0,25161,80.30%,21,f,0,0,5797.78,5790.61,2367.51,2405.39,0,1024.88,9.89,12-Oct,478.64,13-Mar,INDIVIDUAL,0,10+ years
318,1062399,1294261,18000,18000,17975, 60 months,17.27%,449.97,D,D3,NEXCOM,1 year,MORTGAGE,62000,Verified,12/1/2011,Charged Off,n,,debt_consolidation,outofdebt,234xx,VA,7.82,0,Aug-88,2,61,,8,0,11273,86.70%,30,f,0,0,20808.83,20780.01,11594.61,8172.87,0,1041.35,187.443,15-Aug,449.97,16-Mar,INDIVIDUAL,0,0-10 years
321,1065342,1299434,20000,20000,19950, 60 months,14.65%,472.14,C,C3,Micro/Sys,2 years,MORTGAGE,56000,Verified,12/1/2011,Current,n,  Borrower added on 12/13/11 > Credit cards debt consolidations<br>,credit_card,Pay off high interest credit cards,913xx,CA,12.15,0,Jul-93,1,,,9,0,19348,59.90%,15,f,3578.62,3569.68,24548.68,24487.31,16421.38,8127.3,0,0,0,16-Apr,472.14,16-May,INDIVIDUAL,0,0-10 years
324,1065348,1299443,5000,5000,5000, 36 months,12.42%,167.08,B,B4,The Newell Group,2 years,RENT,30000,Source Verified,12/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation - Dec 2011,296xx,SC,23.84,0,1-Jun,2,,,8,0,7980,89.70%,40,f,0,0,833.7,833.7,587.51,246.19,0,0,0,12-Jun,167.08,16-May,INDIVIDUAL,0,0-10 years
326,1065142,1299224,25000,25000,24975, 60 months,19.03%,648.93,E,E2,Aspens Water and Sewer District,10+ years,RENT,75000,Verified,12/1/2011,Current,n,,debt_consolidation,debt consolidation,830xx,WY,19.63,0,Jan-92,2,,,9,0,24150,91.50%,13,f,4860.84,4855.89,33697.87,33664.36,20139.16,13558.71,0,0,0,16-Apr,648.93,16-May,INDIVIDUAL,0,10+ years
327,1065320,1299408,18000,18000,18000, 60 months,19.03%,467.23,E,E2,institute for family health,3 years,RENT,90000,Source Verified,12/1/2011,Current,n,,credit_card,loan 1,113xx,NY,11.32,0,5-Aug,1,,,10,0,13371,85.20%,16,f,3500.97,3500.97,24261.12,24261.12,14499.03,9762.09,0,0,0,16-Apr,467.23,16-Apr,INDIVIDUAL,0,0-10 years
328,1065304,1299388,12000,12000,12000, 36 months,9.91%,386.7,B,B1,Shaws,10+ years,RENT,55000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/11/11 > This loan is to pay off automobile and credit cards<br>,debt_consolidation,Zero Balance Project,028xx,RI,13,0,Mar-98,0,,,10,0,11774,75.50%,17,f,0,0,5851.68,5851.68,4244.34,1162.46,0,444.88,4.55,13-Mar,386.7,13-Jul,INDIVIDUAL,0,10+ years
333,977277,1200058,20000,13475,13041.47044, 60 months,10.65%,290.64,B,B2,The Woodlands Financial Group,2 years,MORTGAGE,175000,Verified,12/1/2011,Current,n,,debt_consolidation,Debt Consolidation Loan,760xx,TX,5.23,0,Aug-82,0,,,12,0,16008,34.10%,39,f,2265.23,2260.92,15066.48,14365.8,11209.77,3856.71,0,0,0,16-Apr,290.64,16-May,INDIVIDUAL,0,0-10 years
335,1059734,1291550,20000,20000,18626.34674, 60 months,16.77%,494.59,D,D2,Chester Mental Health Center,7 years,RENT,50000,Verified,12/1/2011,Current,n,  Borrower added on 12/12/11 > I have a stable job. I pay my bills on time. I just want to have one payment instead of multiple ones so that I can pay off the credit cards faster and have a more realistic budget.<br> Borrower added on 12/12/11 > I have a stable job. I pay my bills on time. I would just like the opportunity to pay off my high interest credit cards and have one payment instead of many.<br>,credit_card,credit card payoff,622xx,IL,22.82,0,Mar-95,1,,,12,0,16565,56.70%,22,f,3730.24,3725.49,25695.8,22711.23,16269.76,9426.04,0,0,0,16-Apr,494.59,16-May,INDIVIDUAL,0,0-10 years
338,1065104,1299181,20000,20000,18847.37306, 60 months,12.69%,451.9,B,B5,Industrial Design And Contruccion,7 years,OWN,85000,Source Verified,12/1/2011,Current,n,  Borrower added on 12/12/11 > Will use Funds to finish our new Home  .This will be the only note @ completion  . 90/00 completed at this point Thanks <br>,home_improvement,Home imp,707xx,LA,10.21,0,2-Oct,0,,,13,0,17537,54.80%,31,f,3467.1,3467.1,23468.38,21380.62,16532.9,6935.48,0,0,0,16-Apr,451.9,16-May,INDIVIDUAL,0,0-10 years
339,1065103,1299180,10000,10000,10000, 36 months,11.71%,330.76,B,B3,chevron station,5 years,RENT,32000,Not Verified,12/1/2011,Charged Off,n,,credit_card,lovely,331xx,FL,21.83,0,1-Oct,0,,,11,0,7346,59.60%,23,f,0,0,1958.97,1958.97,1186.67,464.08,0,308.22,3.27,12-Jun,330.76,12-Oct,INDIVIDUAL,0,0-10 years
340,1065254,1299335,24000,24000,24000, 36 months,8.90%,762.08,A,A5,Tech Data Corp,10+ years,MORTGAGE,116400,Verified,12/1/2011,Charged Off,n,,car,Car loan and pay off my family,336xx,FL,3.94,0,Dec-92,4,,,14,0,3885,8.10%,31,f,0,0,8649.71,8649.71,6036.95,1580.45,0,1032.31,10.25,12-Oct,762.08,15-Jun,INDIVIDUAL,0,10+ years
344,1059620,1291228,12000,12000,12000, 36 months,11.71%,396.92,B,B3,Firestone Complete Auto Care,10+ years,RENT,57200,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/15/11 > I plan to use this loan to pay off my high interest credit cards and lower my monthly payments. I have been with my company for over 11 years.<br>,debt_consolidation,consolidation,014xx,MA,16.36,0,May-00,0,,,11,0,22059,68.50%,17,f,0,0,3564.9,3564.9,2613.54,951.36,0,0,0,12-Oct,396.92,16-Apr,INDIVIDUAL,0,10+ years
348,1065196,1299063,10000,10000,10000, 36 months,12.69%,335.45,B,B5,Grey Goose Restaurant,2 years,RENT,35000,Source Verified,12/1/2011,Charged Off,n,,debt_consolidation,Stress relief,405xx,KY,12.03,0,Apr-00,1,,,10,0,10472,84.60%,15,f,0,0,7690.46,7690.46,5358.77,1671.4,0,660.29,6.4601,13-Oct,335.45,14-Feb,INDIVIDUAL,0,0-10 years
356,1062248,1294105,9750,9750,9750, 36 months,7.51%,303.34,A,A3,Grand Wailea,4 years,RENT,35000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/10/11 > Debt consolidation<br> Borrower added on 12/14/11 > Thank you<br>,debt_consolidation,Consolidation,967xx,HI,29.04,0,Sep-96,1,,,9,0,13275,51.70%,19,f,0,0,5150.83,5150.83,4327.31,823.52,0,0,0,13-May,303.34,16-May,INDIVIDUAL,0,0-10 years
361,1064897,1298948,3000,3000,3000, 60 months,19.03%,77.88,E,E2,AT and T,3 years,RENT,53004,Source Verified,12/1/2011,Current,n,,other,Ring,330xx,FL,10.73,1,3-Aug,2,19,,3,0,1985,79.40%,12,f,584.28,584.28,4040.92,4040.92,2415.72,1625.2,0,0,0,16-Apr,77.88,16-Apr,INDIVIDUAL,0,0-10 years
362,1064754,1298795,25000,25000,23505.29384, 60 months,19.42%,654.31,E,E3,San Francisco Public Library,10+ years,RENT,60000,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/11/11 > I always pay my bills on time but would like to have a better interest rate and have a consolidated payment,<br>",credit_card,refinance,941xx,CA,20.04,0,Aug-00,0,,,12,0,17035,94.90%,24,f,0,0,29415.85,25748.61,11624.71,11255.08,0,6536.06,1172.7,14-Dec,654.31,16-May,INDIVIDUAL,0,10+ years
365,1064727,1298762,8875,8875,8875, 36 months,12.69%,297.72,B,B5,wells fargo,5 years,MORTGAGE,35360,Verified,12/1/2011,Charged Off,n,,debt_consolidation,credit card debt,181xx,PA,23.11,0,5-Sep,1,,,9,0,13003,71.10%,13,f,0,0,2046.9,2046.9,1251.86,528.58,0,266.46,2.96,12-Jun,297.72,12-Nov,INDIVIDUAL,0,0-10 years
367,1064862,1298709,17000,17000,16060.11069, 60 months,15.27%,406.85,C,C4,emeroson animal hospital,8 years,RENT,65000,Not Verified,12/1/2011,Current,n,  Borrower added on 12/19/11 > Please help<br>,debt_consolidation,Pay off Debt,076xx,NJ,16.84,0,Nov-98,2,33,,11,0,12923,62.70%,16,f,2733.54,2733.54,21554.79,19635.43,14266.46,7267.99,20.34,0,0,16-May,406.85,16-May,INDIVIDUAL,0,0-10 years
376,1064636,1298456,12000,12000,12000, 36 months,8.90%,381.04,A,A5,Sterling Savings Bank,3 years,RENT,32000,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/15/11 > Thank you all so much for all that you've already done. You have no idea how much you are changing my life!<br><br>  Borrower added on 12/16/11 > This is going to help me pay off my credit cards and have just one low payment every month.  I can't tell you how good it feels to see the light at the end of the tunnel and see that I will be out of debt quicker than I thought I could be.  I greatly appreciate your help and will not let you down.<br>,debt_consolidation,Bye-bye high interest rates!,975xx,OR,6.75,0,5-Nov,0,,,9,0,5329,59.20%,12,f,0,0,8740.16,8740.16,6603.89,1390.81,0,745.46,7.454600002,13-Sep,381.04,14-Feb,INDIVIDUAL,0,0-10 years
